Opponent,Humboldt Score,Opponent Score
Holy Names,17,4
Holy Names,2,9
UC-Colo. Spgs.,8,4
UC-Colo. Spgs.,5,13
Regis (CO),12,11
Regis,7,10
MSU-Denver,6,3
MSU-Denver,2,10
Cal St. Dom. Hills,5,3
Cal St. Dom. Hills,3,13
Cal St. Dom. Hills,9,6
Cal St. Dom. Hills,7,2
Cal State East Bay,2,11
Cal State East Bay,1,5
Cal State East Bay,0,8
Cal State East Bay,2,10
Chico State,0,4
Chico State,0,7
Chico State,7,9
Chico State,5,17
Stanislaus State,5,4
Stanislaus State,1,3
Stanislaus State,10,2
Stanislaus State,10,9
Academy of Art,12,1
Academy of Art,5,11
Sonoma State,1,6
Sonoma State,1,10
Sonoma State,4,10
Sonoma State,3,13
Cal St. Monterey Bay,4,9
Cal St. Monterey Bay,0,8
Cal St. Monterey Bay,1,3
Cal St. Monterey Bay,2,3
Hawai'i Pacific,5,1
Western Washington,1,4
Azusa Pacific,3,9
Concordia,1,4
Hawai'i Hilo,5,9
Dominican (Calif.),3,1
Dominican (Calif.),3,5
CSU San Bernardino,1,9
CSU San Bernardino,5,9
CSU San Bernardino,2,4
CSU San Bernardino,3,5
San Francisco State,5,7
San Francisco State,4,6
San Francisco State,1,7
San Francisco State,7,8
Cal State San Marcos,1,9
Cal State San Marcos,2,3
Cal State San Marcos,10,2
Cal State San Marcos,1,7
