,speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
0,turvul,Turkey Vulture,Cathartes aura,L33139452,"36040 Road 172, Visalia, California, US (36.443, -119.189)",2024-06-10 10:39,1.0,36.4434883,-119.1885783,True,False,True,S180620551
1,turvul,Turkey Vulture,Cathartes aura,L28753914,HWY 25W Hudner Ln to San Benito County Line,2024-06-10 10:25,2.0,36.907769,-121.43906,True,False,True,S180618857
2,turvul,Turkey Vulture,Cathartes aura,L598128,Owl Canyon - ONLY (waterbirds from this site OK),2024-06-10 10:06,2.0,38.3098072,-123.0619812,True,False,False,S180621178
3,turvul,Turkey Vulture,Cathartes aura,L778646,Zaca Station Rd.,2024-06-10 09:58,1.0,34.6916624,-120.1507759,True,False,False,S180616370
4,turvul,Turkey Vulture,Cathartes aura,L1090094,Lake Almanor--Canyon Dam Boat Ramp,2024-06-10 09:52,1.0,40.178152,-121.0932827,True,False,False,S180613949
5,turvul,Turkey Vulture,Cathartes aura,L1276053,Mare Island Shoreline Heritage Preserve,2024-06-10 09:38,1.0,38.0755955,-122.2538853,True,False,False,S180611117
6,turvul,Turkey Vulture,Cathartes aura,L33136612,St. Francis Drake and 101 Intersection,2024-06-10 09:30,1.0,37.944882,-122.514718,True,False,True,S180609789
7,turvul,Turkey Vulture,Cathartes aura,L8391095,Hogsback Road-(west end),2024-06-10 09:25,8.0,40.187355,-122.171621,True,False,False,S180616849
8,turvul,Turkey Vulture,Cathartes aura,L833754,"Asilomar SB--rocky shore only [Jewell to Asilomar, west of Sunset]",2024-06-10 09:22,,36.6230674,-121.9410557,True,False,False,S180621211
9,turvul,Turkey Vulture,Cathartes aura,L596958,Campbell Cove and Hole in the Head - ONLY,2024-06-10 09:16,1.0,38.3053873,-123.0577433,True,False,False,S180613221
10,turvul,Turkey Vulture,Cathartes aura,L3059230,Pearson-Arastradero Preserve--Arastradero Lake Trail,2024-06-10 09:15,3.0,37.3814199,-122.1758866,True,False,False,S180614735
11,turvul,Turkey Vulture,Cathartes aura,L791702,Pacific Commons Linear Park,2024-06-10 09:15,1.0,37.4951201,-121.9796026,True,False,False,S180611465
12,turvul,Turkey Vulture,Cathartes aura,L13884609,"Penn Park Estates, Rosemont area",2024-06-10 09:15,1.0,38.5432512,-121.3514531,True,False,True,S180611938
13,turvul,Turkey Vulture,Cathartes aura,L6542340,La Honda Creek OSP (lower),2024-06-10 09:13,3.0,37.326322,-122.2799885,True,False,False,S180617727
14,turvul,Turkey Vulture,Cathartes aura,L1863747,Camp Comfort,2024-06-10 09:11,1.0,34.425506,-119.259344,True,False,False,S180613616
15,turvul,Turkey Vulture,Cathartes aura,L936627,Sonoma Coast SP,2024-06-10 09:11,9.0,38.3374823,-123.0670452,True,False,False,S180622273
16,turvul,Turkey Vulture,Cathartes aura,L31024059,Coons home,2024-06-10 09:08,1.0,35.579839,-120.649887,True,False,True,S180605875
17,turvul,Turkey Vulture,Cathartes aura,L18613272,"998 Hearst Willits Rd, Willits US-CA 39.41324, -123.33781",2024-06-10 09:06,1.0,39.413241,-123.337815,True,False,True,S180609038
18,turvul,Turkey Vulture,Cathartes aura,L2937194,Mines Rd.--pond at mile 5.93 (SCL Co.),2024-06-10 09:05,3.0,37.4002138,-121.4927897,True,False,False,S180609124
19,turvul,Turkey Vulture,Cathartes aura,L491052,Ramona Pond,2024-06-10 09:05,1.0,33.0516051,-116.8479466,True,False,False,S180610168
20,turvul,Turkey Vulture,Cathartes aura,L374047,Cañada Larga Rd.,2024-06-10 09:00,20.0,34.3445699,-119.2783928,True,False,False,S180618036
21,turvul,Turkey Vulture,Cathartes aura,L25399691,"950 N San Pedro St, San Jose US-CA (37.3536,-121.9052)",2024-06-10 08:51,1.0,37.353588,-121.905174,True,False,True,S180604235
22,turvul,Turkey Vulture,Cathartes aura,L820867,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),2024-06-10 08:45,2.0,34.4198459,-119.8792197,True,False,False,S180616814
23,turvul,Turkey Vulture,Cathartes aura,L15726949,"7500 Uva Dr, Redwood Valley US-CA 39.24708, -123.21500",2024-06-10 08:43,3.0,39.247076,-123.214998,True,False,True,S180613478
24,turvul,Turkey Vulture,Cathartes aura,L419636,Grasslands Regional Park,2024-06-10 08:35,8.0,38.4959689,-121.6941027,True,False,False,S180619758
25,turvul,Turkey Vulture,Cathartes aura,L15173483,"2472-2444 Paddock Drive, San Ramon, California, US (37.76, -121.988)",2024-06-10 08:27,1.0,37.7598687,-121.988275,True,False,True,S180597996
26,turvul,Turkey Vulture,Cathartes aura,L33135494,"Bothe-Napa Valley State Park, Calistoga US-CA 38.54958, -122.52589",2024-06-10 08:21,1.0,38.549581,-122.525894,True,False,True,S180605336
27,turvul,Turkey Vulture,Cathartes aura,L6168584,Walk On Beach,2024-06-10 08:20,4.0,38.7346971,-123.4909523,True,False,True,S180620099
28,turvul,Turkey Vulture,Cathartes aura,L33135042,Los Palos seasonal pond - Atascadero US-CA,2024-06-10 08:20,1.0,35.451056,-120.620113,True,False,True,S180603451
29,turvul,Turkey Vulture,Cathartes aura,L656782,Cosumnes River Preserve,2024-06-10 08:20,6.0,38.2658235,-121.4394915,True,False,False,S180621497
30,turvul,Turkey Vulture,Cathartes aura,L442170,Davis Wetlands,2024-06-10 08:19,1.0,38.5836668,-121.6371918,True,False,False,S180612969
31,turvul,Turkey Vulture,Cathartes aura,L6359962,Santa Monica Creek,2024-06-10 08:10,2.0,34.4070435,-119.5278168,True,False,False,S180601361
